a,b,c
2.59,5.27,3.38
4.81,0.83,7.08
2.34,4.95,3.51
4.1,1.34,6.35
2.1,5.24,3.85
3.14,2.54,6.73
2.0,5.03,3.94
2.88,2.61,6.07
1.93,4.73,4.14
4.33,1.82,5.39
2.06,4.87,4.01
2.04,4.87,4.06
4.47,1.73,5.62
2.37,4.71,3.64
3.52,2.63,4.8
2.08,4.82,3.93
3.19,3.47,4.12
2.29,4.63,3.79
2.47,4.49,3.76
2.33,4.57,3.87
2.33,4.33,4.07
2.32,4.51,4.0
2.27,4.57,3.95
2.19,3.23,5.87
1.92,4.5,4.36
2.19,3.25,5.78
1.62,3.84,5.31
2.03,4.29,4.27
1.84,3.98,4.92
2.31,4.35,4.15
1.76,4.15,4.82
2.71,2.8,6.56
4.58,12.5,8.52
10.98,3.59,6.68
1.49,13.01,12.09
10.57,4.17,6.48
1.85,12.63,11.67
10.3,4.23,7.46
10.18,4.43,7.49
3.57,10.81,9.99
10.0,4.49,7.62
3.81,33.0,9.83
9.7,5.03,6.2
9.31,5.57,5.79
9.18,5.58,6.2
5.23,9.28,8.56
8.96,5.75,6.3
5.98,8.46,8.98
9.18,5.33,6.58
6.09,8.39,8.71
9.15,5.37,6.74
6.38,8.28,7.61
9.2,5.29,7.14
6.86,7.74,7.3
9.11,5.26,7.7
6.93,7.74,7.15
9.1,5.41,7.91
7.45,7.23,6.91
8.76,5.77,7.98
7.82,6.77,6.82
8.61,5.8,7.54
7.83,6.74,7.1
8.67,5.84,7.82
7.72,6.86,7.18
8.15,6.32,7.84
7.87,6.63,7.23
8.49,5.99,8.09
7.96,6.58,7.44
8.09,6.36,8.41
7.92,6.5,7.54
7.68,6.77,8.44
6.91,7.57,7.65
7.3,7.13,8.25
6.84,7.62,7.86
7.2,7.23,7.95
8.46,6.24,4.46
7.11,7.83,9.86
8.07,6.51,8.77
7.7,7.19,9.62
9.04,6.06,9.77
9.97,4.51,8.18
9.17,5.95,9.61
9.12,6.22,10.05
10.01,4.58,8.38
9.89,5.41,9.25
10.03,4.55,8.48
10.0,5.01,6.11
10.08,4.49,8.7
9.73,5.06,9.25
10.37,4.3,8.75
9.49,5.2,9.0
10.58,4.15,8.41
9.36,5.41,9.04
9.54,5.02,8.63
9.76,4.89,8.33
3.28,4.08,5.89
5.13,3.27,3.48
5.29,3.44,3.12
5.71,4.05,2.31
3.49,3.85,5.38
3.68,3.63,4.91
5.56,4.07,2.68
4.79,3.36,3.64
4.36,4.01,3.79
5.52,4.68,2.3
5.71,5.14,2.22
5.75,5.12,1.86
5.52,5.69,2.39
3.74,3.64,4.8
4.24,3.07,3.33
22.07,10.31,13.47
28.83,3.27,17.34
27.99,3.88,16.58
28.45,3.85,17.04
18.55,12.1,8.78
18.19,12.4,8.41
13.66,16.86,7.44
17.04,13.68,8.01
14.4,16.22,7.5
17.09,13.63,7.91
14.42,16.17,7.3
15.99,14.73,7.71
15.18,15.41,7.6
15.84,14.8,7.64
19.08,15.42,4.04
12.2,18.42,7.36
4.04,26.29,11.87
10.3,20.29,7.8
3.86,26.61,11.87
9.82,20.86,8.15
3.75,26.61,11.94
6.68,23.86,9.89
5.99,24.36,10.19
11.55,7.4,9.46
11.66,5.6,12.59
11.42,9.78,11.52
11.81,6.23,12.06
12.02,7.42,10.42
12.79,6.28,11.99
11.66,7.07,10.69
12.12,6.65,11.8
11.87,7.12,10.71
12.41,7.13,11.64
12.16,6.94,11.55
11.71,6.8,10.81
12.42,7.55,10.98
11.73,6.7,11.03
11.79,6.68,11.06
11.4,6.55,10.78
10.47,5.65,10.72
7.82,6.57,10.01
10.39,7.1,8.85
10.76,6.69,9.92
11.06,7.41,9.13
10.28,6.13,9.97
11.25,7.28,9.6
11.2,7.37,9.38
9.58,3.96,4.8
9.44,3.72,4.8
9.68,3.85,4.93
9.68,3.82,5.04
9.51,3.83,4.89
9.59,3.68,5.11
9.34,3.66,4.77
9.38,3.33,5.19
9.39,3.37,5.3
9.48,3.41,5.36
9.59,3.47,5.4
7.39,5.63,5.85
8.32,4.98,6.28
12.38,6.15,8.73
12.32,6.18,8.49
11.99,8.34,5.23
12.61,6.45,8.5
11.04,7.19,5.24
10.82,6.87,5.24
12.08,6.03,8.18
12.74,6.69,8.04
11.02,6.44,6.18
12.21,6.44,7.71
5.78,5.75,7.43
11.95,6.18,7.8
10.29,5.64,6.46
11.13,5.27,7.89
10.41,4.73,5.92
10.09,3.67,8.35
11.28,5.09,8.22
10.97,5.0,8.74
9.87,3.91,7.9
10.8,4.57,8.14
10.11,4.09,8.05
10.35,3.67,8.62
10.55,4.1,8.38
9.21,3.59,7.98
9.62,4.88,6.78
9.85,4.76,6.78
9.83,4.66,7.17
10.4,4.23,8.55
10.41,4.33,8.39
9.26,3.52,14.04
9.42,3.93,13.91
9.55,3.98,13.88
7.84,12.83,4.86
9.51,4.17,13.38
7.67,12.83,4.91
8.84,4.27,13.42
8.96,11.02,7.31
8.92,4.34,13.31
6.96,11.2,6.28
8.64,4.6,13.08
7.1,10.83,6.75
8.39,4.91,12.65
6.99,10.73,6.83
8.51,5.07,12.59
6.94,10.73,6.92
8.52,5.09,12.54
7.47,10.53,7.29
8.93,5.49,12.51
7.72,10.41,7.33
8.39,5.23,12.43
7.13,10.18,7.49
8.32,5.26,12.37
7.2,10.05,7.63
7.1,5.48,12.21
7.18,10.0,7.69
8.25,5.56,12.13
7.06,9.97,7.6
7.97,5.58,11.97
7.81,6.11,11.55
8.21,5.94,11.73
6.91,9.95,7.63
8.36,6.05,11.66
7.02,9.73,7.89
7.57,6.38,11.31
6.93,9.53,7.99
7.66,6.39,11.24
6.9,9.44,8.23
7.58,6.56,11.08
7.09,9.11,8.61
7.48,6.81,10.99
7.51,8.82,8.93
10.33,9.15,9.54
10.35,9.64,9.45
9.7,2.45,15.68
9.21,4.58,13.46
8.97,5.0,12.99
8.6,8.01,9.93
8.99,5.4,12.65
8.7,7.89,10.02
8.66,5.55,12.36
9.01,7.67,10.3
8.87,5.62,12.19
9.28,7.05,11.11
9.34,5.73,12.18
8.91,6.65,11.38
9.0,10.03,8.03
9.94,11.56,6.48
9.73,10.73,7.22
9.37,10.59,7.33
9.67,10.88,7.18
7.97,6.47,11.2
7.98,8.7,9.21
8.07,6.81,10.98
8.69,8.13,10.06
8.21,6.81,11.0
7.07,8.31,9.42
8.3,6.69,11.06
7.3,8.23,9.46
8.29,6.95,10.93
7.27,8.02,9.69
8.36,7.01,10.88
7.33,7.74,10.21
8.46,6.89,10.98
8.83,7.66,10.48
7.82,7.24,10.46
7.97,7.48,10.29
7.55,7.8,9.88
10.02,14.83,3.77
10.56,14.86,4.28
10.85,14.95,4.58
11.85,5.95,10.35
11.86,7.05,8.8
9.78,6.72,7.02
11.49,4.84,10.75
10.11,7.27,6.65
11.26,3.98,11.48
10.84,3.68,11.22
11.27,5.06,10.33
11.32,5.18,10.2
10.67,4.9,9.88
10.78,4.99,9.8
11.35,5.45,9.9
11.26,5.65,9.75
11.12,5.65,9.57
11.04,5.8,9.36
11.06,6.11,9.14
10.76,5.9,8.82
10.29,7.32,6.74
11.09,6.56,8.52
10.48,6.15,8.17
5.85,5.29,8.41
9.72,5.21,8.59
10.0,5.15,9.01
5.54,3.08,10.73
9.07,2.07,11.35
